01FB15ECS457,TAL
01FB14ECS012,7.64
01FB14ECS237,7.64
01FB15ECS420,7.64
01FB15ECS449,7.64
01FB14ECS060,7.61
01FB14ECS050,7.59
01FB14ECS175,7.59
01FB14ECS228,7.59
01FB14ECS268,7.59
01FB14ECS301,7.59
01FB14ECS255,7.55
01FB15ECS414,7.55
01FB15ECS432,7.55
01FB14ECS264,7.5
01FB14ECS013,7.47
01FB14ECS048,7.45
01FB14ECS002,7.41
01FB14ECS169,7.41
01FB14ECS076,7.36
01FB14ECS209,7.36
01FB14ECS267,7.36
01FB14ECS281,7.36
01FB14ECS016,7.32
01FB14ECS115,7.32
01FB14ECS269,7.32
01FB14ECS303,7.32
01FB15ECS407,7.32
01FB15ECS442,7.32
01FB14ECS063,7.27
01FB14ECS163,7.23
01FB15ECS438,7.23
01FB15ECS455,7.23
01FB14ECS294,7.18
01FB14ECS014,7.14
01FB14ECS195,7.14
01FB14ECS245,7.14
01FB14ECS286,7.14
01FB15ECS400,7.14
01FB15ECS458,7.14
01FB14ECS024,7.09
01FB14ECS081,7.09
01FB14ECS212,7.09
01FB14ECS291,7.09
01FB14ECS194,7.05
01FB14ECS199,7.05
01FB15ECS409,7.05
01FB15ECS426,7.05
01FB15ECS454,7.05
01FB14ECS045,7
01FB14ECS127,7
01FB14ECS174,7
01FB14ECS263,7
01FB14ECS285,7
01FB15ECS436,7
01FB15ECS404,6.95
01FB14ECS098,6.91
01FB14ECS238,6.91
01FB14ECS259,6.91
01FB15ECS417,6.91
01FB15ECS410,6.86
01FB14ECS218,6.77
01FB14ECS261,6.77
01FB15ECS452,6.77
01FB14ECS220,6.73
01FB14ECS249,6.73
01FB15ECS423,6.73
01FB14ECS222,6.68
01FB14ECS284,6.68
01FB14ECS292,6.68
01FB15ECS441,6.68
01FB14ECS232,6.64
01FB15ECS437,6.64
01FB14ECS117,6.63
01FB14ECS005,6.59
01FB14ECS065,6.59
01FB14ECS126,6.59
01FB14ECS159,6.55
01FB14ECS297,6.55
01FB15ECS443,6.55
01FB14ECS049,6.45
01FB14ECS196,6.45
01FB14ECS229,6.45
01FB14ECS146,6.41
01FB15ECS439,6.41
01FB15ECS413,6.36
01FB15ECS427,6.32
01FB14ECS158,6.28
01FB14ECS142,6.27
01FB14ECS287,6.27
01FB15ECS405,6.18
01FB15ECS453,6.18
01FB15ECS422,6.14
01FB14ECS113,6.09
01FB15ECS416,6.09
01FB14ECS096,6
01FB15ECS418,6
01FB15ECS434,5.95
01FB15ECS450,5.95
01FB15ECS444,5.91
01FB15ECS408,5.77
01FB14ECS223,5.68
01FB15ECS424,5.5
01FB14ECS235,5.18
01FB14ECS092,5.05
01FB14ECS182,4.92
01FB15ECS440,4.91
01FB15ECS412,4.86
01FB15ECS421,4.86
01FB14ECS204,4.82
01FB15ECS446,4.82
01FB14ECS052,4.77
01FB15ECS447,4.72
01FB14ECS197,4.41
01FB15ECS431,4.38
01FB15ECS425,4.36
01FB14ECS020,4.27
01FB14ECS064,4.14
01FB15ECS429,4.14
01FB15ECS430,4.14
01FB15ECS448,4.14
01FB15ECS419,3.78
01FB15ECS451,3.77
01FB14ECS023,3.68
01FB14ECS112,3.56
01FB15ECS435,3.44
01FB14ECS062,3.29
01FB14ECS036,3.15
01FB14ECS165,3.05
01FB15ECS428,1.95
01FB14ECS144,1.87
01FB15ECS401,1.82
01FB14ECS178,0.86
01FB14ECS038,0
01FB15ECS402,0
01FB15ECS456,0
